Sr. No.	UNDERLYING	SYMBOL
127	Max Healthcare Institute Limited	MAXHEALTH
128	Mazagon Dock Shipbuilders Limited	MAZDOCK
129	MphasiS Limited	MPHASIS
130	Multi Commodity Exchange of India Limited	MCX
131	Muthoot Finance Limited	MUTHOOTFIN
132	NBCC (India) Limited	NBCC
133	NCC Limited	NCC
134	NHPC Limited	NHPC
135	NMDC Limited	NMDC
136	NTPC Limited	NTPC
137	National Aluminium Company Limited	NATIONALUM
138	Nestle India Limited	NESTLEIND
139	Nuvama Wealth Management Limited	NUVAMA
140	Oberoi Realty Limited	OBEROIRLTY
141	Oil & Natural Gas Corporation Limited	ONGC
142	Oil India Limited	OIL
143	One 97 Communications Limited	PAYTM
144	Oracle Financial Services Software Limited	OFSS
145	PB Fintech Limited	POLICYBZR
146	PG Electroplast Limited	PGEL
147	PI Industries Limited	PIIND
148	PNB Housing Finance Limited	PNBHOUSING
149	Page Industries Limited	PAGEIND
150	Patanjali Foods Limited	PATANJALI
151	Persistent Systems Limited	PERSISTENT
152	Petronet LNG Limited	PETRONET
153	Pidilite Industries Limited	PIDILITIND
154	Piramal Pharma Limited	PPLPHARMA
155	Polycab India Limited	POLYCAB
156	Power Finance Corporation Limited	PFC
157	Power Grid Corporation of India Limited	POWERGRID
158	Prestige Estates Projects Limited	PRESTIGE
159	Punjab National Bank	PNB
160	RBL Bank Limited	RBLBANK
161	REC Limited	RECLTD
162	Rail Vikas Nigam Limited	RVNL
163	Reliance Industries Limited	RELIANCE
164	SBI Cards and Payment Services Limited	SBICARD
165	SBI Life Insurance Company Limited	SBILIFE
166	SHREE CEMENT LIMITED	SHREECEM
167	SRF Limited	SRF
168	Sammaan Capital Limited	SAMMAANCAP
169	Samvardhana Motherson International Limited	MOTHERSON
170	Shriram Finance Limited	SHRIRAMFIN
171	Siemens Limited	SIEMENS
172	Solar Industries India Limited	SOLARINDS
173	Sona BLW Precision Forgings Limited	SONACOMS
174	State Bank of India	SBIN
175	Steel Authority of India Limited	SAIL
176	Sun Pharmaceutical Industries Limited	SUNPHARMA
177	Supreme Industries Limited	SUPREMEIND
178	Suzlon Energy Limited	SUZLON
179	Syngene International Limited	SYNGENE
180	TATA CONSUMER PRODUCTS LIMITED	TATACONSUM
181	TITAGARH RAIL SYSTEMS LIMITED	TITAGARH
182	TVS Motor Company Limited	TVSMOTOR
183	Tata Consultancy Services Limited	TCS
184	Tata Elxsi Limited	TATAELXSI
185	Tata Motors Limited	TATAMOTORS
186	Tata Power Company Limited	TATAPOWER
187	Tata Steel Limited	TATASTEEL
188	Tata Technologies Limited	TATATECH
189	Tech Mahindra Limited	TECHM
190	The Federal Bank Limited	FEDERALBNK
191	The Indian Hotels Company Limited	INDHOTEL
192	The Phoenix Mills Limited	PHOENIXLTD
193	Titan Company Limited	TITAN
194	Torrent Pharmaceuticals Limited	TORNTPHARM
195	Torrent Power Limited	TORNTPOWER
196	Trent Limited	TRENT
197	Tube Investments of India Limited	TIINDIA
198	UNO Minda Limited	UNOMINDA
199	UPL Limited	UPL
200	UltraTech Cement Limited	ULTRACEMCO
201	Union Bank of India	UNIONBANK
202	United Spirits Limited	UNITDSPR
203	Varun Beverages Limited	VBL
204	Vedanta Limited	VEDL
205	Vodafone Idea Limited	IDEA
206	Voltas Limited	VOLTAS
207	Wipro Limited	WIPRO
208	Yes Bank Limited	YESBANK
209	Zydus Lifesciences Limited	ZYDUSLIFE
